,Latitude,Longitude,name,wheelchair,wheelchair:description,amenity,opening_hours,tourism,atm,website,cuisine,toilets:wheelchair,image,image2,bus,railway,public_transport,PublicTraffic,What
9,25.7415486583567,32.6022538139535,مقبرة الملك رمسيس السادس,Tomb of King Ramses V (KV9),عصر الدولة القديمة,محافظة الأقصر,"تقع هذه المقبرة فوق مقبرة الملك توت عنخ امون وتعتبر اكبر المقابر الملكية فى الوادى اذ تخترق صخر الجبل بعمق يصل الى 93 متر ، وكانت المقبرة مخصصة فى الاصل للملك رمسيس الخامس الذى وجد اسمه مسجلا على الجزء الامامى منها ثم اغتصبها الملك رمسيس السادس وأكمل الجزء الأخير منها وقد اطلق عليها اعضاء الحملة الفرنسية فى الاعوام 1799-1801 مقبرة تقمص الروح وذلك لإعتقادهم بوجود منظر خاص يتقمص الروح بداخلها، كما اطلق علماء الانجليز على هذه المقبرة اسم مقبرة ممنون مقلدين بذلك الزوار الأغريق الذين اطلقوا من قبل اسم ممنون على مقبرة الملك امنحوتب الثالث ولعل السبب هن ان اسم التتويج للملك رمسيس السادس يمثل لقب (نب ماعت رع) وهو نفس الاسم الذى اتخذه من قبل الملك امنحوتب الثالث،كما يلاحظ وجود العديد من النصوص الجرافيتية التى سجلها الزوار الاغريق مما قد يشير الى ان المقبرة كانت مفتوحة ومعروفة ايام حكم الاغريق لمصر، كما تشير النصوص القبطية الموجودة على جدران المقبرة الى وجود مجموعة من الاخوة المسحيين الذى اقاموا أغلب الظن داخل هذه المقبرة فى القرون الأولى الميلادية، تتميز هذه المقبرة بأن جدرانها تعتبر مسرحا كاملا للنصوص الديينة فهى عبارة عن مكتبة كبيرة للأدب الدينى وهى النصوص التى تناقش بالكلمة والصورة الحياة والموت وبعث اله الشمس رع. وقد سجل على جدرانها اغلب الكتب الدينية التى كانت معروفة من قبل مثل كتاب امى دوات وكتاب البوابات وكتاب الموتى والاناشيد الشمسية المختلفة وقصة هلاك البشر ثم كتاب الكهوف وكتاب الليل والنهار،وقد سجل كتاب النهار هنا للمرة الاولى بهذه الصورة الفلكية كذلك كتاب الارض المعروف بأسم ""آكر"".",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/14226-%D9%85%D9%82%D8%A8%D8%B1%D8%A9-%D8%B1%D9%85%D8%B3%D9%8A%D8%B3-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3-(1).jpg',,,,,,
10,25.7407453247459,32.6029243662137,مقبرة الملك رمسيس الحادي عشر,Tomb of King Ramses XI  (KV4),عصر الدولة القديمة,محافظة الأقصر,"هي واحدة من المقابر التي تم اكتشافها في منطقة وادي الملوك في مصر، ورمسيس الحادي عشر هو واحد من الفراعنة الذين حكموا مصر حيث حكم رمسيس مصر ما بين 1107 حتى 1077 قبل الميلاد، وهو واحد من أفراد الأسرة العشرين المصرية.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/%D8%B1%D9%85%D8%B3%D9%8A%D8%B3%20%D8%A7%D9%84%D8%AD%D8%A7%D8%AF%D9%89%20%D8%B9%D8%B4%D8%B1.jpg',,,,,,
11,25.7405935723857,32.6018615392436,مقبرة الملك رمسيس التاسع,Tomb of King Ramses IX (KV6),عصر الدولة القديمة,محافظة الأقصر,"مقبرة رقم 6 وهى مقبرة رمسيس التاسع الملك تقع في الوادي الشرقي بمنطقة وادي الملوك ورمسيس التاسع هو ثامن ملوك الأسرة الـ 20، وحكم مصر لمدة 18 عام. ",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,src='https://github.com/nasser9008/masterpicture/blob/main/1200px-RamessesIX-Relief_MetropolitanMuseum.png',,,,,,
12,25.7399966857494,32.6019564485703,مقبرة الملك سيتى الأول ,Tomb of King Seti I (KV17 ),عصر الدولة القديمة,محافظة الأقصر,"مقبرة 17 وتعرف عالميا باسم KV17 وتشتهر بعدة أسماء أخرى منها مقبرة بلزوني ومقبرة أبيس وتقع في الوادي الشرقي بوادي الملوك بمصر، وتمثل المثوى الأخير لفرعون مصر سيتي الأول ثاني ملوك الأسرة التاسعة عشر، وكانت واحدة من أجمل المقابر نقشا وتزيينا للجدران",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,,,,,,,
13,25.7398937360495,32.6022732759697,مقبرة الملك رمسيس العاشر,Tomb of King Ramses X (KV18) ,عصر الدولة القديمة,محافظة الأقصر,"تحمل مقبرته لقب 18 ومعروفة عالميًا بلقب KV18 وتقع في منطقة وادي الملوك بدء إنشاء هذه المقبرة في عهد الملك رمسيس الخامس (حوالي 1147 – 1143 ق.م) من الأسرة العشرين. على الرغم من أن دفنه فيها غير مؤكد، حيث أن خليفته في الحكم الملك رمسيس السادس (حوالي 1413 -1136 ق.م) قد قام بتوسيع المقبرة واستخدمها لدفنه.

كان تخطيط المقبرة بسيط؛ حيث تتكون من مجموعة من الممرات الهابطة فى خط مستقيم تؤدي إلى حجرة الدفن في العمق تحت الأرض، ونقوشها في حالة جيدة من الحفظ.

تحتوي مناظر المقبرة على العديد من النقوش الجنائزية التي تساعد الملك في الانتقال بسلام إلى الحياة الأخرى، فقد زينت أولى الممرات الهابطة بكتاب البوابات وكتاب الكهوف وكتاب السماء، وزينت الممرات التي تليها بمناظر من الإمدوات، وكتاب الموتى، وكتاب السماء، بينما زينت حجرة الدفن بمناظر من كتاب الأرض. زينت الأسقف بمناظر ونقوش فلكية، بعض هذه النصوص الجنائزية عبارة عن مجموعات من التعاويذ، والبعض الآخر عبارة عن خرائط للعالم السفلي، تصف رحلة إله الشمس الليلية اليومية خلاله، والتي تمكن الملك من ضمان إعادة ولادته في الأفق الشرقي عند الفجر مثل إله الشمس.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,,,,,,,
14,25.7404002525920,32.6014815351832,مقبرة الملك توت عنخ آمون,Tomb of Tutankhamun (KV 62),عصر الدولة القديمة,محافظة الأقصر,"تعد مقبرة الملك توت عنخ آمون (حوالي1336-1327 ق.م) من الأسرة الثامنة عشر ذات  شهرة عالمية لأنها المقبرة الملكية الوحيدة بوادي الملوك التي تم اكتشاف محتوياتها سليمة وكاملة نسبيًا. وكان اكتشاف المقبرة الذي تم في عام 1922 من قبل هوارد كارتر قد احتل العناوين الرئيسية في صحف جميع أنحاء العالم، حيث صاحب ذلك ظهور التحف الذهبية وغيرها من القطع الفاخرة التي اكتشفت بالمقبرة. تعتبر مقبرة توت عنخ آمون وكنوزها أيقونة لمصر ولا يزال اكتشافها أحد أهم الاكتشافات الآثرية حتى الآن.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,,,,,,,
15,25.7400222966573,32.6018311274226,مقبرة الملك رمسيس الاول,Tomb of Ramses I (KV16) ,عصر الدولة القديمة,محافظة الأقصر,"دفن رمسيس الأول في المقبرة رقم 16 بوادي الملوك واكتشفها جوفاني باتيستا بلزوني وتتكون من ممر دخول قصير وحجرة الدفن التي تحتوى على تابوت الملك، وهي مزينة برسومات لرمسيس الأول مع عدد من الآلهة.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,,,,,,,
16,25.7401694179605,32.6010828996882,مقبرة 56,KV56,عصر الدولة القديمة,محافظة الأقصر,"المقبرة رقم 56 والمعروفة علمياً بالرمز KV56 هي مقبرة مصرية قديمة تقع في وادي الملوك في مصر، معروفة باسم «مقبرة الذهب»، اكتشفها عالم المصريات إدوارد أيرتون في يناير 1908. احتوت على ما يُظن أنه جثة كاملة لطفل ملكي من أواخر الأسرة التاسعة عشرة.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,,,,,,,
17,25.7401374051503,32.6009769524325,مقبرة 58,KV58,عصر الدولة القديمة,محافظة الأقصر,"مقبرة 58 وتعرف عالميا باسم KV58، وتقع ي الوادي الشرقي بوادي الملوك بمصر، كما تعرف أيضا باسم «مقبرة المركبة الحربية» ليس لاكتشاف مركبة حربية بها ولكن لاكتشاف رقائق من الذهب عليها أسماء توت عنخ أمون وخپر خپرو رع آي ويعتقد أنها من الرقائق الذهبية التي كانت تغطي المركبات الحربية الملكية في ذلك الوقت.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,,,,,,,
18,25.7400685473781,32.6008830751160,مقبرة 57 (الملك حورمحب),KV57 (Horemheb),عصر الدولة القديمة,محافظة الأقصر,"مقبرة 57 وتعرف عالميا باسم KV57، وتقع في الوادي الشرقي بوادي الملوك بمصر وتخص الفرعون حورمحب آخر ملوك الأسرة الثامنة عشر.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,,,,,,,
19,25.7407478652484,32.6009607916381,مقبرة الملك مرنبتاح,Tomb of King Merneptah (KV8 ),عصر الدولة القديمة,محافظة الأقصر,تعتبر المقبرة محفورة في صخور الجبل في وادي الملوك للماك مرنبتاح الأسرة التاسعة عشر,السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,,,,,,,
20,25.7393135294207,32.5999275995829,مقبرة الملك سيتى الثانى,Tomb of Seti II (KV15),عصر الدولة القديمة,محافظة الأقصر,"المقبرة رقم 15 والمعروفة علمياً بالرمز KV15 تقع في وادي الملوك في مصر، دُفِنَ فيها الملك سيتي الثاني من الأسرة التاسعة عشرة. حُفِرَ القبر في قاعدة منحدر شبه عمودي على رأس واد يمتد جنوب غرب الجزء الرئيسي من وادي الملوك.",السياحة الأثرية والتاريخية,,مقابر فرعونية,مصر,مقابر أثرية,,,,,,,
